"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
"CAINC1 County and MSA personal income summary: personal income, population, per capita personal income"
County
GeoFips,GeoName,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
13109,"Evans, GA",2333,2642,2654,2997,3682,4213,4655,4950,5016,5791,6232,6428,7397,8081,8413,9719,10306,10830,11189,12605,13626,13873,14609,15073,15674,16843,17690,18292,18310,19307,19503,20016,22276,22316,22307,23489,24429,24843,26766,26541,26828,26616,27188,28620,29039,30405,32041,32267,32837,33278,33704,36914,41080,40658,42033
13111,"Fannin, GA",2154,2245,2406,2730,3194,3584,4134,4226,4367,5046,5418,6227,6757,6994,7726,8569,9062,9548,9889,10324,11164,12206,12867,13518,14185,15281,16204,17348,17660,19218,20109,21569,22045,22169,22476,23179,24047,24963,25913,26141,25583,25813,26994,28065,28582,30595,32520,33737,36085,37707,40223,42955,47735,51143,54467
13113,"Fayette, GA",3999,4149,5049,6326,6603,7194,7560,8052,8753,9611,10559,11780,13310,13938,14892,16227,17126,17970,18804,19988,21008,22128,22521,23794,25114,26133,27990,29789,30787,33464,34686,37218,37748,38077,39526,41238,42644,44169,48400,46817,44859,45140,47775,49932,49872,52470,55008,57635,59952,63975,64926,68922,74418,73658,77577
13115,"Floyd, GA",3114,3374,3596,3988,4448,4857,5108,5630,6084,6655,7450,8196,8982,9357,10119,10972,11630,12528,13369,14282,15254,16310,17090,18180,18649,19662,20055,21106,21644,22296,23172,23865,25117,25691,26345,27718,27763,28451,29356,29852,29335,30231,31197,31551,31806,33379,34754,35520,36171,37446,38731,40857,44177,44332,46727
13117,"Forsyth, GA",3196,3027,3177,3880,4529,4552,5213,5766,6432,7477,8027,8847,10246,11249,12337,14194,15013,16239,16845,18077,18799,18861,19778,21781,24113,26579,28559,30576,31158,32293,34018,36004,38256,35946,35308,41533,42246,45651,46447,47119,45535,46543,49661,51762,52690,54993,58830,60451,61408,62654,65843,68471,74584,79986,84447
13119,"Franklin, GA",2453,2613,2724,3154,3692,3717,4330,4743,5081,5599,6126,6606,7321,7923,8603,10046,10594,11940,12025,13433,14845,15343,15597,16612,17397,18219,18964,19854,20535,21871,22335,22979,24063,23608,24178,25782,25875,24574,26751,27823,27161,27418,27551,29978,30355,32183,35114,33920,35228,35719,35336,35978,40801,44534,41656
13121,"Fulton, GA",4146,4602,4999,5505,6083,6703,7112,7742,8625,9534,10048,10964,11980,12736,13958,15723,17137,18536,19923,22232,24063,25775,26222,28163,29173,30254,32529,33981,36718,40897,42658,47487,51635,53256,53807,57010,61544,66414,67100,61568,58806,59436,63678,64627,63356,70293,74011,77381,83409,87640,93334,93399,100995,100577,106131
13123,"Gilmer, GA",2531,2647,2793,3291,3829,3944,4301,4744,4880,5745,6310,6646,7686,8035,8694,9650,10489,11697,12312,13426,14233,14864,15182,15665,16175,17151,18002,18700,18803,19938,20493,20496,21397,21514,21749,23183,24190,24181,25669,26764,25989,25997,26158,28810,29636,31610,33166,33017,34563,35713,36881,38413,42781,45922,47155
13125,"Glascock, GA",2565,2811,3097,3379,3935,4116,5086,5944,6673,7593,8512,7415,7920,8440,9403,10751,10958,11804,12507,13021,13676,13825,14826,15259,15468,18587,18594,19731,19048,19061,19486,20033,21094,21045,22208,22978,22336,22186,22755,24518,24045,25121,26668,27025,28409,29704,31144,32793,33029,33889,35356,38916,41115,39759,41959
13127,"Glynn, GA",3257,3671,4094,4453,4720,5017,5157,5884,6518,7331,8096,9053,9928,10347,10978,11948,13004,13845,14560,15673,17041,18017,18755,20074,20838,22053,23545,25300,26477,27977,28392,29866,30165,30787,32346,34970,36620,38553,38878,37432,34958,35966,37487,37625,37928,39497,41400,41833,44117,46798,47897,52623,57800,59663,62751
